method,seed,bytes_per_embedding,compression,recall_at_10,ndcg_at_10,ms_per_query,codebook_kb
Raw float32,0,1536,1.0,0.7833333333333333,0.6450816521455776,0.040059166666613535,0.0
PCA-32 float32,0,128,12.0,0.5974444444444444,0.452965866460932,0.036609166666797435,0.0
PCA-32 int8,0,32,48.0,0.5941111111111111,0.45096805420302566,0.036036526666597034,0.0
PCA-64 float32,0,256,6.0,0.6908888888888889,0.540439229243928,0.03709027666673137,0.0
PCA-64 int8,0,64,24.0,0.6875555555555556,0.5408164504094899,0.037619166666710654,0.0
PCA-96 float32,0,384,4.0,0.736,0.593477778337222,0.037533750000117536,0.0
PCA-96 int8,0,96,16.0,0.7393333333333334,0.5956742572094712,0.03815139000001485,0.0
PCA-128 float32,0,512,3.0,0.7576666666666667,0.6106755685685332,0.03661319333332358,0.0
PCA-128 int8,0,128,12.0,0.7543333333333334,0.6118414752230059,0.03745805666653723,0.0
PCA-192 float32,0,768,2.0,0.7826666666666667,0.6274446512579983,0.0369040266665858,0.0
PCA-192 int8,0,192,8.0,0.7826666666666667,0.626028078505003,0.0407708333333782,0.0
SERA-VQ-64-8B,42,8,192.0,0.5267777777777778,0.365661665733035,0.03993721999999404,512.0
SERA-VQ-64-8B,123,8,192.0,0.4955,0.35774903050328677,0.0369597233333252,512.0
SERA-VQ-64-8B,456,8,192.0,0.5510555555555555,0.3760131193163657,0.03827277666668275,512.0
PQ-64-8B,42,8,192.0,0.5132222222222222,0.34165655882225243,0.037857640000045954,64.0
PQ-64-8B,123,8,192.0,0.48138888888888887,0.3184948793848397,0.03799763666677336,64.0
PQ-64-8B,456,8,192.0,0.5305555555555556,0.3602975291339415,0.03900958333323009,64.0
SERA-VQ-64-16B,42,16,96.0,0.6447777777777778,0.4868528795181105,0.03916124999989279,1024.0
SERA-VQ-64-16B,123,16,96.0,0.6148888888888889,0.4752663835470026,0.038006666666584955,1024.0
SERA-VQ-64-16B,456,16,96.0,0.649888888888889,0.5009903248024559,0.03825999999984712,1024.0
PQ-64-16B,42,16,96.0,0.6254444444444445,0.47778680980471305,0.041467636666728445,64.0
PQ-64-16B,123,16,96.0,0.6326666666666666,0.48761071582298654,0.03832499999987249,64.0
PQ-64-16B,456,16,96.0,0.6308888888888889,0.4773261618666084,0.03871263666667346,64.0
SERA-VQ-64-24B,42,24,64.0,0.6747222222222223,0.5218729294563415,0.038269859999976084,1536.0
SERA-VQ-64-24B,123,24,64.0,0.6622222222222222,0.5156164158583614,0.03943972333331658,1536.0
SERA-VQ-64-24B,456,24,64.0,0.6997777777777778,0.5412812364873114,0.038310833333336326,1536.0
SERA-VQ-64-32B,42,32,48.0,0.6865555555555556,0.5390785492888784,0.03907958333343231,2048.0
SERA-VQ-64-32B,123,32,48.0,0.6922222222222222,0.537043268691363,0.03811485999998846,2048.0
SERA-VQ-64-32B,456,32,48.0,0.6942222222222222,0.5422953568194026,0.03804347000008571,2048.0
PQ-64-32B,42,32,48.0,0.6952222222222222,0.540481099367047,0.03784416666671102,64.0
PQ-64-32B,123,32,48.0,0.6864444444444444,0.5347402219485828,0.038827916666643134,64.0
PQ-64-32B,456,32,48.0,0.6924444444444445,0.5353062807353653,0.03891000000010081,64.0
SERA-VQ-96-8B,42,8,192.0,0.4973333333333333,0.34651928753880956,0.036397083333289025,768.0
SERA-VQ-96-8B,123,8,192.0,0.4121111111111111,0.2748732492254404,0.03829416666671174,768.0
SERA-VQ-96-8B,456,8,192.0,0.43461111111111106,0.3003466246654781,0.03962972333340531,768.0
PQ-96-8B,42,8,192.0,0.47627777777777774,0.3034457561744792,0.04114680666665057,96.0
PQ-96-8B,123,8,192.0,0.45072222222222214,0.31403178692307115,0.03787208333335457,96.0
PQ-96-8B,456,8,192.0,0.4058333333333333,0.2859747989895516,0.04027541666668336,96.0
SERA-VQ-96-16B,42,16,96.0,0.6422777777777778,0.48238192626471527,0.03791625000000446,1536.0
SERA-VQ-96-16B,123,16,96.0,0.6116666666666667,0.44286540946614283,0.03959930666667333,1536.0
SERA-VQ-96-16B,456,16,96.0,0.6135555555555555,0.4480744384614704,0.03829861333334369,1536.0
PQ-96-16B,42,16,96.0,0.6248333333333332,0.4837816834769614,0.03904583333337541,96.0
PQ-96-16B,123,16,96.0,0.6396111111111111,0.4884827621923306,0.03857388999999027,96.0
PQ-96-16B,456,16,96.0,0.6414444444444445,0.4962597115048262,0.03895152666681649,96.0
