method,family,dim,stored_dim,bytes_per_embedding,compression,spearman
PCA-384 float32,PCA float32,384,384,1536,1.0,0.8687899109490904
PCA-384 int8 dense,PCA int8 dense,384,384,384,4.0,0.8687156109582628
PCA-256 float32,PCA float32,256,256,1024,1.5,0.8686645585494162
PCA-256 int8 dense,PCA int8 dense,256,256,256,6.0,0.8685365744753277
Raw float32,Raw,384,384,1536,1.0,0.8671631197908373
PCA-192 float32,PCA float32,192,192,768,2.0,0.8667777511974881
GlobalTopM PCA-192 m=192 mean_abs,GlobalTopM-mean_abs,192,192,192,8.0,0.8667054059518324
GlobalTopM PCA-192 m=192 variance,GlobalTopM-variance,192,192,192,8.0,0.8667054059518324
GlobalTopM PCA-192 m=192 energy,GlobalTopM-energy,192,192,192,8.0,0.8667054059518324
GlobalTopM PCA-256 m=192 mean_abs,GlobalTopM-mean_abs,256,192,192,8.0,0.8667054059518324
GlobalTopM PCA-256 m=192 variance,GlobalTopM-variance,256,192,192,8.0,0.8667054059518324
GlobalTopM PCA-256 m=192 energy,GlobalTopM-energy,256,192,192,8.0,0.8667054059518324
GlobalTopM PCA-384 m=192 mean_abs,GlobalTopM-mean_abs,384,192,192,8.0,0.8667054059518324
GlobalTopM PCA-384 m=192 variance,GlobalTopM-variance,384,192,192,8.0,0.8667054059518324
GlobalTopM PCA-384 m=192 energy,GlobalTopM-energy,384,192,192,8.0,0.8667054059518324
PCA-192 int8 dense,PCA int8 dense,192,192,192,8.0,0.8667041967569887
PCA-128 float32,PCA float32,128,128,512,3.0,0.8609334891571832
PCA-128 int8 dense,PCA int8 dense,128,128,128,12.0,0.860828528230656
GlobalTopM PCA-128 m=128 mean_abs,GlobalTopM-mean_abs,128,128,128,12.0,0.860828528230656
GlobalTopM PCA-128 m=128 variance,GlobalTopM-variance,128,128,128,12.0,0.860828528230656
GlobalTopM PCA-128 m=128 energy,GlobalTopM-energy,128,128,128,12.0,0.860828528230656
GlobalTopM PCA-192 m=128 mean_abs,GlobalTopM-mean_abs,192,128,128,12.0,0.860828528230656
GlobalTopM PCA-192 m=128 variance,GlobalTopM-variance,192,128,128,12.0,0.860828528230656
