method,bytes_per_embedding,compression,spearman
Raw float32 normalized,1536,1.0,0.8671631197908373
PCA-192 float32,768,2.0,0.8667777511974881
PCA-192 int8 dense,192,8.0,0.8667064885735188
PCA-128 float32,512,3.0,0.8609334891571832
PCA-128 int8 dense,128,12.0,0.860828528230656
PCA-96 int8 dense,96,16.0,0.8559928451781971
PCA-96 float32,384,4.0,0.8559014394211667
PCA-64 float32,256,6.0,0.8444633994991836
PCA-64 int8 dense,64,24.0,0.8444002695623783
SERA-VQ PCA-96 32x8bit,32,48.0,0.8430449750327693
SERA-VQ PCA-64 32x8bit,32,48.0,0.8388184863508996
SERA-VQ PCA-128 32x8bit,32,48.0,0.8333811338440762
SERA-VQ PCA-64 24x8bit,24,64.0,0.8332841924960371
SERA-VQ PCA-96 24x8bit,24,64.0,0.8300051350729823
SERA-VQ PCA-128 24x8bit,24,64.0,0.8154718296697276
SERA-VQ PCA-64 16x8bit,16,96.0,0.8150259361235775
PCA-32 float32,128,12.0,0.8077110449544967
PCA-32 int8 dense,32,48.0,0.8076860536623104
SERA-VQ PCA-96 16x8bit,16,96.0,0.8009735331874301
SERA-VQ PCA-64 12x8bit,12,128.0,0.7926075628160336
SERA-VQ PCA-128 16x8bit,16,96.0,0.7839606566779792
SERA-VQ PCA-96 12x8bit,12,128.0,0.7752587752278781
SERA-VQ PCA-128 12x8bit,12,128.0,0.7596785402765034
SERA-VQ PCA-64 8x8bit,8,192.0,0.7466753382281626
SERA-VQ PCA-96 8x8bit,8,192.0,0.741442755186382
SERA-VQ PCA-128 8x8bit,8,192.0,0.7259098070079276
SERA-VQ PCA-96 4x8bit,4,384.0,0.6881032836706829
SERA-VQ PCA-128 4x8bit,4,384.0,0.6768163327691279
SERA-VQ PCA-64 4x8bit,4,384.0,0.667924790915244
